Model,Node Memory Capacity (MB),# of Nodes,Bottleneck Latency (s)
MobileNetV2,64,5,2.436506162
MobileNetV2,64,10,1.543748165
MobileNetV2,64,15,2.17584384
MobileNetV2,64,20,2.342757678
MobileNetV2,64,50,2.200485506
EfficientNetB1,64,5,4.129645883
EfficientNetB1,128,5,2.843304912
EfficientNetB1,64,10,3.955353885
EfficientNetB1,128,10,2.451627881
EfficientNetB1,64,15,3.847347095
EfficientNetB1,128,15,2.180281036
EfficientNetB1,64,20,4.944300812
EfficientNetB1,128,20,2.088150378
EfficientNetB1,64,50,4.703150262
EfficientNetB1,128,50,2.611237707
ResNet50,64,5,6.903265589
ResNet50,128,5,4.515358276
ResNet50,64,10,7.259834656
ResNet50,128,10,4.40087857
ResNet50,64,15,7.008467438
ResNet50,128,15,4.540829786
ResNet50,64,20,7.853880234
ResNet50,128,20,5.368623239
ResNet50,64,50,7.96833201
ResNet50,128,50,4.246168648
InceptionResNetV2,64,5,nan
InceptionResNetV2,128,5,9.315638231
InceptionResNetV2,256,5,5.422333756
InceptionResNetV2,64,10,10.12349779
InceptionResNetV2,128,10,8.143775697
InceptionResNetV2,256,10,6.499533996
InceptionResNetV2,64,15,9.764954082
InceptionResNetV2,128,15,7.95768496
InceptionResNetV2,256,15,5.889915445
InceptionResNetV2,64,20,10.38601366
InceptionResNetV2,128,20,8.536190297
InceptionResNetV2,256,20,5.727628568
InceptionResNetV2,64,50,10.8614497
InceptionResNetV2,128,50,7.831755872
InceptionResNetV2,256,50,5.407615751